 TITLE = "PR density_T" 

  VARIABLES = Temperature	PR_h_01	NIST_h_01	PR_h_1	NIST_h_1	PR_h_3	NIST_h_3	PR_h_5	NIST_h_5	PR_h_7	NIST_h_7	PR_h_10	NIST_h_10
560	596.9297587	563.31	361.714347	347.6	356.9481751	345.64	353.6829565	344.33	349.5413364	342.79	345.5453818	342.02
570	624.2942579	590.85	591.956562	552.09	393.3512442	379.58	388.9225537	377.69	383.5064538	375.5	378.1482117	373.98
580	651.9888672	618.71	621.6525014	583.53	431.2326474	414.38	425.1218003	411.67	418.0834963	408.64	411.1615661	406.28
590	680.0088735	646.89	651.3902591	614.59	471.1841682	450.35	462.4487713	446.34	453.3008027	442.22	444.5812569	438.9
600	708.3494799	675.38	681.2358958	645.5	514.5563217	488.16	501.1543991	481.84	489.1894046	476.27	478.4018526	471.83
610	737.0058074	704.17	711.2310382	676.37	566.4473114	530.43	541.6341074	518.37	525.7815548	510.8	512.6164025	505.08
620	765.972897	733.26	741.4030821	707.26	666.3258124	648.41	584.548606	556.3	563.1073917	545.81	547.2161369	538.63
630	795.2457113	762.65	771.7705039	738.25	718.1574584	691.77	631.0228849	596.5	601.1883029	581.33	582.190158	572.47
640	824.8191357	792.33	802.3458684	769.35	755.7757244	729.69	682.3429724	641.47	640.0249933	617.37	617.5251465	606.6
650	854.6879799	822.29	833.1376443	800.59	791.1047767	765.62	735.4658188	696.87	679.5785238	653.99	653.2051156	641.01
660	884.8469787	852.53	864.1513581	831.99	825.4704948	800.56	782.9062985	749.14	719.7457678	691.21	689.2112576	675.68
670	915.2907933	883.04	895.3903576	863.55	859.3591889	834.93	824.9216585	793.14	760.339451	729.12	725.5219291	710.61
680	946.0140118	913.83	926.8563349	895.3	893.0081861	868.99	863.9631408	833.34	801.0940942	767.81	762.1128223	745.8
690	977.0111503	944.88	958.549695	927.23	926.551651	902.88	901.3744712	871.58	841.7152515	807.34	798.9573556	781.23
700	1008.276653	976.19	990.4698228	959.36	960.0725117	936.68	937.8355144	908.68	881.9556635	847.66	836.02729	816.9
710	1039.804895	1007.8	1022.615279	991.68	993.6250931	970.46	973.7194463	945.07	921.6702048	888.4	873.2935466	852.8
720	1071.590178	1039.6	1054.98395	1024.2	1027.246377	1004.3	1009.248425	981.01	960.8199944	929.04	910.7271563	888.94
730	1103.626737	1071.6	1087.573158	1056.9	1060.962159	1038.1	1044.56345	1016.7	999.4406262	969.14	948.3002471	925.3
740	1135.908736	1103.9	1120.379751	1089.8	1094.79066	1072.1	1079.758462	1052.1	1037.604752	1008.6	985.9869581	961.88
750	1168.43027	1136.5	1153.400173	1122.9	1128.744767	1106.1	1114.898367	1087.5	1075.395434	1047.4	1023.764179	998.68
760	1201.185365	1169.2	1186.630515	1156.2	1162.833492	1140.2	1150.029222	1122.8	1112.891862	1085.6	1061.61205	1035.7
770	1234.167982	1202.3	1220.066564	1189.7	1197.062948	1174.5	1185.184325	1158.1	1150.163494	1123.5	1099.514183	1072.9
780	1267.372009	1235.5	1253.703835	1223.4	1231.437034	1208.9	1220.388028	1193.4	1187.268687	1161.1	1137.457638	1110.3
790	1300.791271	1268.9	1287.537602	1257.3	1265.957918	1243.5	1255.658225	1228.8	1224.255342	1198.5	1175.432683	1147.9
800	1334.419522	1302.6	1321.562923	1291.4	1300.626391	1278.1	1291.00802	1264.3	1261.162272	1235.7	1213.432416	1185.7
810	1368.250451	1336.5	1355.774659	1325.7	1335.442134	1313	1326.446894	1299.8	1298.020666	1272.8	1251.452301	1223.6
820	1402.277679	1370.6	1390.167489	1360.1	1370.403915	1348	1361.981523	1335.4	1334.855441	1309.9	1289.489682	1261.6
830	1436.494761	1404.9	1424.735931	1394.8	1405.509746	1383.1	1397.61638	1371.1	1371.686379	1346.9	1327.543327	1299.8
840	1470.895186	1439.4	1459.474346	1429.6	1440.756998	1418.4	1433.354181	1406.9	1408.529073	1383.9	1365.613	1338.1
850	1505.472373	1474.1	1494.376954	1464.6	1476.142504	1453.8	1469.196212	1442.8	1445.39568	1420.9	1403.699107	1376.4
860	1540.219679	1508.9	1529.43784	1499.8	1511.662627	1489.4	1505.142593	1478.9	1482.295532	1458	1441.802403	1414.8
870	1575.130392	1544	1564.650963	1535.2	1547.313325	1525.2	1541.192468	1515.1	1519.235627	1495.1	1479.923753	1453.3
880	1610.197736	1579.3	1600.010162	1570.7	1583.0902	1561.1	1577.344168	1551.4	1556.221014	1532.3	1518.063959	1491.9
890	1645.414868	1614.8	1635.509161	1606.5	1618.988541	1597.1	1613.595329	1587.8	1593.255113	1569.5	1556.223626	1530.5
900	1680.774879	1650.4	1671.141576	1642.3	1655.003355	1633.3	1649.942995	1624.4	1630.339968	1606.8	1594.403066	1569.1
910	1716.270794	1686.2	1706.900918	1678.4	1691.129396	1669.7	1686.383694	1661.1	1667.476455	1644.2	1632.602237	1607.8
920	1751.895573	1722.2	1742.780597	1714.6	1727.361191	1706.2	1722.913509	1697.9	1704.664447	1681.7	1670.820705	1646.6
930	1787.642111	1758.4	1778.773927	1751	1763.693057	1742.9	1759.528127	1734.9	1741.90296	1719.3	1709.057619	1685.4
940	1823.503237	1794.7	1814.874125	1787.6	1800.11912	1779.7	1796.222887	1771.9	1779.19026	1757	1747.311706	1724.2
950	1859.471713	1831.3	1851.074318	1824.3	1836.633329	1816.7	1832.992815	1809.2	1816.523964	1794.7	1785.581271	1763.1
960	1895.54024	1867.9	1887.367543	1861.2	1873.229471	1853.8	1869.832657	1846.5	1853.901118	1832.6	1823.864205	1802.1
970	1931.701448	1904.8	1923.74675	1898.2	1909.901177	1891	1906.736906	1884	1891.31826	1870.6	1862.158	1841.1
980	1967.947907	1941.8	1960.204804	1935.4	1946.641934	1928.4	1943.699824	1921.6	1928.771485	1908.7	1900.459762	1880.2
990	2004.272119	1978.9	1996.734486	1972.7	1983.445095	1966	1980.715461	1959.4	1966.256483	1946.9	1938.76623	1919.3
1000	2040.66652	2016.3	2033.328496	2010.2	2020.303882	2003.6	2017.77767	1997.3	2003.768587	1985.2	1977.073795	1958.5
