 TITLE = "Density VS Temperature for Oxygen" 

  VARIABLES = T	rho_NIST_0.1Mpa	rho_RKPR_0.1Mpa	rho_NIST_1Mpa	rho_RKPR_1Mpa	rho_NIST_5Mpa	rho_RKPR_5Mpa	rho_NIST_7Mpa	rho_RKPR_7Mpa	rho_NIST_8Mpa	rho_RKPR_8Mpa	rho_NIST_10Mpa	rho_RKPR_10Mpa
620	0.85391	0.855663637	8.5545	8.571993746	43.057	43.13011403	60.43	60.50914572	69.135	69.20799077	86.561	86.60214832
630	0.84033	0.842058196	8.4164	8.433603818	42.319	42.39015623	59.365	59.44343059	67.9	67.97423286	84.977	85.02366208
640	0.82718	0.828879539	8.2829	8.299700433	41.607	41.67736532	58.341	58.41886511	66.714	66.78920276	83.458	83.51009409
650	0.81444	0.816107845	8.1535	8.170064075	40.921	40.99015339	57.354	57.43288298	65.573	65.64977561	81.999	82.05707617
660	0.80208	0.803724507	8.0282	8.044489632	40.259	40.32706136	56.404	56.48314109	64.475	64.55310629	80.597	80.66065038
670	0.79009	0.791712038	7.9068	7.922785208	39.619	39.68674567	55.488	55.56749475	63.416	63.49659741	79.248	79.31722005
680	0.77846	0.780053987	7.789	7.804771055	39	39.06796656	54.603	54.68397622	62.395	62.47787184	77.948	78.02350773
690	0.76716	0.768734864	7.6747	7.69027861	38.402	38.46957782	53.748	53.83077607	61.409	61.49474884	76.695	76.77651913
700	0.75619	0.757740071	7.5638	7.579149622	37.823	37.89051779	52.922	53.00622687	60.457	60.54522332	75.486	75.57351195
710	0.74552	0.747055839	7.4561	7.471235359	37.262	37.32980138	52.123	52.20878898	59.537	59.62744779	74.318	74.41196876
720	0.73516	0.736669168	7.3514	7.366395891	36.718	36.78651301	51.35	51.43703799	58.646	58.73971649	73.189	73.28957352
730	0.72508	0.726567776	7.2497	7.26449944	36.191	36.25980032	50.601	50.68965369	57.784	57.88045149	72.098	72.20419096
740	0.71527	0.716740049	7.1508	7.165421781	35.68	35.74886862	49.875	49.96541033	56.949	57.04819044	71.042	71.1538486
750	0.70572	0.707174994	7.0546	7.069045699	35.184	35.25297586	49.171	49.26316796	56.139	56.24157573	70.019	70.13672081
760	0.69643	0.697862205	6.9609	6.975260499	34.702	34.77142823	48.487	48.58186471	55.354	55.45934488	69.027	69.1511149
770	0.68738	0.688791813	6.8698	6.883961545	34.233	34.30357609	47.824	47.92050998	54.592	54.700322	68.066	68.19545867
780	0.67856	0.679954464	6.781	6.79504985	33.778	33.84881041	47.18	47.27817832	53.852	53.9634102	67.134	67.26828948
790	0.66996	0.671341277	6.6945	6.708431692	33.335	33.4065595	46.554	46.65400387	53.134	53.24758476	66.228	66.36824442
800	0.66158	0.662943817	6.6102	6.624018261	32.904	32.9762861	45.945	46.04717554	52.435	52.55188706	65.349	65.49405164
