 TITLE = "SRK density_T" 

  VARIABLES =T	rho_NIST_0.1Mpa	rho_SRK_0.1Mpa	rho_NIST_1Mpa	rho_SRK_1Mpa	rho_NIST_2Mpa	rho_SRK_2Mpa	rho_NIST_3Mpa	rho_SRK_3Mpa	rho_NIST_5Mpa	rho_SRK_5Mpa	rho_NIST_10Mpa	rho_SRK_10Mpa
830	2.0724	2.070599113	21.673	21.50496697	45.425	44.7379144	71.182	69.44013192	128.22	120.7299728	269.29	227.7023937
840	2.0471	2.045360157	21.353	21.18414956	44.604	43.92318192	69.637	67.94662397	124.48	117.5398032	261.34	222.1247712
850	2.0225	2.020745278	21.045	20.87483112	43.823	43.14793328	68.188	66.54284788	121.05	114.5834148	253.73	216.8387941
860	1.9986	1.99673097	20.747	20.57631486	43.078	42.40887688	66.824	65.21962878	117.9	111.833413	246.5	211.8288898
870	1.9751	1.973294925	20.459	20.28796395	42.367	41.7031076	65.536	63.96909259	114.98	109.2666158	239.63	207.0792593
880	1.9523	1.950415954	20.181	20.00919483	41.688	41.02804899	64.318	62.78443416	112.26	106.8632797	233.12	202.5742429
890	1.9299	1.928073918	19.911	19.73947151	41.036	40.38140586	63.163	61.65973444	109.73	104.6064855	226.97	198.2985858
900	1.9081	1.90624966	19.65	19.47830058	40.411	39.76112505	62.064	60.58981496	107.37	102.4816499	221.17	194.2376223
910	1.8868	1.884924947	19.397	19.22522679	39.811	39.16536288	61.018	59.57012082	105.14	100.476133	215.69	190.3773944
920	1.866	1.864082411	19.152	18.97982931	39.234	38.59245779	60.02	58.59662568	103.05	98.57892218	210.52	186.7047202
930	1.8456	1.843705498	18.914	18.74171834	38.677	38.04090737	59.065	57.66575414	101.07	96.7803753	205.64	183.207225
940	1.8257	1.823778424	18.682	18.51053218	38.141	37.50934881	58.151	56.77431772	99.205	95.07201113	201.03	179.8733442
950	1.8062	1.804286122	18.457	18.28593459	37.623	36.99654232	57.274	55.91946177	97.432	93.44633691	196.68	176.6923077
960	1.7871	1.785214208	18.238	18.0676125	37.123	36.50135688	56.433	55.09862104	95.747	91.89670597	192.56	173.6541113
970	1.7684	1.766548939	18.025	17.85527393	36.639	36.02275805	55.624	54.30948244	94.142	90.41719936	188.66	170.7494792
980	1.7502	1.748277174	17.818	17.64864618	36.171	35.55979734	54.845	53.5499535	92.611	89.0025269	184.96	167.9698218
990	1.7323	1.730386349	17.616	17.44747415	35.717	35.11160308	54.094	52.8181356	91.149	87.64794412	181.45	165.3071923
1000	1.7148	1.712864435	17.419	17.25151891	35.278	34.67737242	53.369	52.1123011	89.749	86.34918206	178.11	162.754241

970	1.7684	1.770562285	18.025	18.25360567	36.639	37.58371614	55.624	57.70659567	94.142	98.9501697	188.66	194.5616162
980	1.7502	1.752207887	17.818	18.03775707	36.171	37.08084553	54.845	56.85399808	92.611	97.28716641	184.96	191.1570301
990	1.7323	1.734236512	17.616	17.82766834	35.717	36.59434112	54.094	56.03333107	91.149	95.6967256	181.45	187.8970012
1000	1.7148	1.716636066	17.419	17.62308569	35.278	36.12330104	53.369	55.24256895	89.749	94.17361267	178.11	184.7724047
